,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_
0,0.21,Premium,E,SI1,59.8,61.0,326.0,3.89,3.84,2.31,2,5
1,0.23,Good,E,VS1,56.9,65.0,327.0,4.05,4.07,2.31,4,5
2,0.29,Premium,I,VS2,62.4,58.0,334.0,4.2,4.23,2.63,3,1
3,0.31,Good,J,SI2,63.3,58.0,335.0,4.34,4.35,2.75,1,0
4,0.24,Very Good,J,VVS2,62.8,57.0,336.0,3.94,3.96,2.48,5,0
5,0.24,Very Good,I,VVS1,62.3,57.0,336.0,3.95,3.98,2.47,6,1
6,0.26,Very Good,H,SI1,61.9,55.0,337.0,4.07,4.11,2.53,2,2
7,0.23,Very Good,H,VS1,59.4,61.0,338.0,4.0,4.05,2.39,4,2
8,0.3,Good,J,SI1,64.0,55.0,339.0,4.25,4.28,2.73,2,0
9,0.23,Ideal,J,VS1,62.8,56.0,340.0,3.93,3.9,2.46,4,0
10,0.22,Premium,F,SI1,60.4,61.0,342.0,3.88,3.84,2.33,2,4
11,0.31,Ideal,J,SI2,62.2,54.0,344.0,4.35,4.37,2.71,1,0
12,0.2,Premium,E,SI2,60.2,62.0,345.0,3.79,3.75,2.27,1,5
13,0.32,Premium,E,I1,60.9,58.0,345.0,4.38,4.42,2.68,0,5
14,0.3,Ideal,I,SI2,62.0,54.0,348.0,4.31,4.34,2.68,1,1
15,0.3,Good,J,SI1,63.4,54.0,351.0,4.23,4.29,2.7,2,0
16,0.3,Good,J,SI1,63.8,56.0,351.0,4.23,4.26,2.71,2,0
17,0.3,Very Good,J,SI1,62.7,59.0,351.0,4.21,4.27,2.66,2,0
18,0.3,Good,I,SI2,63.3,56.0,351.0,4.26,4.3,2.71,1,1
19,0.23,Very Good,E,VS2,63.8,55.0,352.0,3.85,3.92,2.48,3,5
20,0.23,Very Good,H,VS1,61.0,57.0,353.0,3.94,3.96,2.41,4,2
21,0.31,Very Good,J,SI1,59.4,62.0,353.0,4.39,4.43,2.62,2,0
22,0.31,Very Good,J,SI1,58.1,62.0,353.0,4.44,4.47,2.59,2,0
23,0.23,Very Good,G,VVS2,60.4,58.0,354.0,3.97,4.01,2.41,5,3
24,0.24,Premium,I,VS1,62.5,57.0,355.0,3.97,3.94,2.47,4,1
25,0.3,Very Good,J,VS2,62.2,57.0,357.0,4.28,4.3,2.67,3,0
26,0.23,Very Good,D,VS2,60.5,61.0,357.0,3.96,3.97,2.4,3,6
27,0.23,Very Good,F,VS1,60.9,57.0,357.0,3.96,3.99,2.42,4,4
28,0.23,Very Good,F,VS1,60.0,57.0,402.0,4.0,4.03,2.41,4,4
29,0.23,Very Good,F,VS1,59.8,57.0,402.0,4.04,4.06,2.42,4,4
30,0.23,Very Good,E,VS1,60.7,59.0,402.0,3.97,4.01,2.42,4,5
31,0.23,Very Good,E,VS1,59.5,58.0,402.0,4.01,4.06,2.4,4,5
32,0.23,Very Good,D,VS1,61.9,58.0,402.0,3.92,3.96,2.44,4,6
33,0.23,Good,F,VS1,58.2,59.0,402.0,4.06,4.08,2.37,4,4
34,0.23,Good,E,VS1,64.1,59.0,402.0,3.83,3.85,2.46,4,5
35,0.31,Good,H,SI1,64.0,54.0,402.0,4.29,4.31,2.75,2,2
36,0.26,Very Good,D,VS2,60.8,59.0,403.0,4.13,4.16,2.52,3,6
37,0.33,Ideal,I,SI2,61.8,55.0,403.0,4.49,4.51,2.78,1,1
38,0.33,Ideal,I,SI2,61.2,56.0,403.0,4.49,4.5,2.75,1,1
39,0.33,Ideal,J,SI1,61.1,56.0,403.0,4.49,4.55,2.76,2,0
40,0.26,Good,D,VS2,65.2,56.0,403.0,3.99,4.02,2.61,3,6
41,0.26,Good,D,VS1,58.4,63.0,403.0,4.19,4.24,2.46,4,6
42,0.32,Good,H,SI2,63.1,56.0,403.0,4.34,4.37,2.75,1,2
43,0.32,Very Good,H,SI2,61.8,55.0,403.0,4.35,4.42,2.71,1,2
44,0.32,Good,H,SI2,63.8,56.0,403.0,4.36,4.38,2.79,1,2
45,0.25,Very Good,E,VS2,63.3,60.0,404.0,4.0,4.03,2.54,3,5
