,carat,cut,color,clarity,depth,table,x,y,z,cut_,clarity_,color_,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3,2,3,2855.106640841902
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,2,4,5,852.4310708376272
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,5,4,3,1458.0185493598024
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,5,5,4,7202.903396714006
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,5,2,4,18300.889254520625
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,3,4,1,13059.221365729045
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5,2,4,4327.296807436616
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,4,3,6,2636.0267121100337
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4,4,2,2415.9147495672078
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,5,8,3,3851.3829579279363
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,2,4,7,5784.860292653297
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,5,6,4,814.8277033022629
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,5,6,1,1402.792247754607
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,5,4,7,783.1771954310308
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1,4,7,1523.7501954512295
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,5,3,6,1483.5225222669424
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2,3,2,369.1356418846075
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2,2,3,20693.257376612957
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4,3,5,4192.5807198306375
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,5,8,4,781.8115896517818
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3,3,3,4142.450717484114
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3,5,5,799.9827549153879
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3,2,5,4002.3844826186
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5,5,5,4926.59924697069
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,4,2,7,6848.331310653637
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,4,5,6,1066.3837547468117
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,5,6,5,2267.7319013297947
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,4,3,4,2049.1887780887696
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,4,6,7,1401.4978177334938
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3,1,2,1116.4394919728443
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,3,5,2,5001.927578042728
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,5,6,5,916.8892031882265
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,5,7,2,3228.5639855987
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,5,2,7,3188.097132588971
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,3,3,4,1262.6735718286195
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5,4,6,6752.701713740864
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,5,5,7,1311.7805050279962
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5,4,5,6082.3489856457
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,5,3,7,643.7702742693011
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,4,5,1,416.00703020336846
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,3,6,7,855.0445594484078
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,5,5,4,746.5524333666561
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,5,5,4,442.63970223416806
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,5,5,5,663.6968831734581
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,3,8,5,11806.796375029704
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5,5,1,5247.584962764056
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,4,3,3,9250.853963884803
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,3,2,6,1162.9016143334716
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,5,8,4,882.8217813387529
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4,2,6,3779.8700890361238
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4,4,6,1667.2015690214728
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5,2,3,4432.3361003269665
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,4,2,4,6493.502627288779
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4,4,3,572.1445169395926
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,5,4,6,3091.6634218202435
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,5,7,3,11494.632905719807
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,2,4,5,331.21950728800505
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,3,1,5,2309.641050435457
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5,3,7,5815.358296926748
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2,2,6,4125.283964447121
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,5,6,3,1968.5474630170431
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,5,8,6,1107.1743209024598
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4,6,7,3940.7515229747264
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2,3,4,1400.1650163428756
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,5,4,4,1695.2217352085056
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,5,8,3,10285.21265335802
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,4,7,6,658.5905288495845
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,5,4,7,1910.9848788967304
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5,2,4,5902.405275621069
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,5,6,6,964.3791689918615
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,4,4,2,638.3231555381301
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,5,3,4,617.9978142148698
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,2,3,6,5976.505269134874
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,5,5,3,576.1346016331513
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,5,3,7,803.5965594698512
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,5,7,5,3949.236212590686
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,4,4,4,619.5983193909709
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,4,4,6,1606.1872757026374
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,3,3,6,1412.7437059824458
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,5,5,1,1470.3388439804894
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,5,8,5,831.6554397390913
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,5,7,4,1201.692498569147
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,5,4,5,634.2580016206368
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3,5,3,4341.010040457077
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4,2,4,2552.693178862043
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,4,2,6,2169.848434615501
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,3,4,1,567.4350846788066
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3,3,4,2354.0693908355142
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3,4,7,3155.746423991289
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3,5,3,4341.010040457077
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3,2,5,2228.329722183904
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,4,4,3,10488.587220387135
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,3,3,5,10238.541240963057
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,5,5,5,1250.5227227422195
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4,4,4,5394.144976895813
